"gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","numAdminTickets","numTechTickets","Churn","predicted_probability","y"
"1","1","2","1",1,"1","2","1","1","3","1","1","1","1","1","2","3",29.85,29.85,0,0,"1",0.64299202936695,"0"
"2","1","1","1",34,"2","1","1","3","1","3","1","1","1","2","1","4",56.95,1889.5,0,0,"1",0.00904073266726377,"0"
"2","1","1","1",2,"2","1","1","3","3","1","1","1","1","1","2","4",53.85,108.15,0,0,"2",0.273041521817126,"0"
"2","1","1","1",45,"1","2","1","3","1","3","3","1","1","2","1","1",42.3,1840.75,0,3,"1",0.314390975713327,"0"
"1","1","1","1",2,"2","1","2","1","1","1","1","1","1","1","2","3",70.7,151.65,0,0,"2",0.782117096017997,"0"
"1","1","1","1",8,"2","3","2","1","1","3","1","3","3","1","2","3",99.65,820.5,0,0,"2",0.703196311321524,"0"
"2","1","1","2",22,"2","3","2","1","3","1","1","3","1","1","2","2",89.1,1949.4,0,0,"1",0.274503774810578,"0"
"1","1","1","1",10,"1","2","1","3","1","1","1","1","1","1","1","4",29.75,301.9,0,0,"1",0.278311161769242,"0"
"1","1","2","1",28,"2","3","2","1","1","3","3","3","3","1","2","3",104.8,3046.05,0,2,"2",0.853907349746072,"0"
"2","1","1","2",62,"2","1","1","3","3","1","1","1","1","2","1","1",56.15,3487.95,0,0,"1",0.00087823688129516,"0"
"2","1","2","2",13,"2","1","1","3","1","1","1","1","1","1","2","4",49.95,587.45,1,0,"1",0.153279595470075,"0"
"2","1","1","1",16,"2","1","3","2","2","2","2","2","2","3","1","2",18.95,326.8,0,0,"1",0.00816161215998332,"0"
"2","1","2","1",58,"2","3","2","1","1","3","1","3","3","2","1","2",100.35,5681.1,0,0,"1",0.00697033311043221,"0"
"2","1","1","1",49,"2","3","2","1","3","3","1","3","3","1","2","1",103.7,5036.3,5,4,"2",0.912790054936756,"0"
"2","1","1","1",25,"2","1","2","3","1","3","3","3","3","1","2","3",105.5,2686.05,0,0,"1",0.140979687170596,"0"
"1","1","2","2",69,"2","3","2","3","3","3","3","3","3","3","1","2",113.25,7895.15,0,0,"1",0.000196940366439394,"0"
"1","1","1","1",52,"2","1","3","2","2","2","2","2","2","2","1","4",20.65,1022.95,0,0,"1",0.00186994566124988,"0"
"2","1","1","2",71,"2","3","2","3","1","3","1","3","3","3","1","1",106.7,7382.25,0,4,"1",0.0951421854663737,"0"
"1","1","2","2",10,"2","1","1","1","1","3","3","1","1","1","1","2",55.2,528.35,0,0,"2",0.185589982509313,"0"
"1","1","1","1",21,"2","1","2","1","3","3","1","1","3","1","2","3",90.05,1862.9,0,0,"1",0.284586852701908,"0"
"2","2","1","1",1,"1","2","1","1","1","3","1","1","3","1","2","3",39.65,39.65,0,0,"2",0.73107342652207,"0"
"2","1","2","1",12,"2","1","3","2","2","2","2","2","2","2","1","1",19.8,202.25,2,0,"1",0.0502652819524262,"0"
"2","1","1","1",1,"2","1","3","2","2","2","2","2","2","1","1","4",20.15,20.15,4,0,"2",0.182848058625084,"0"
"1","1","2","1",58,"2","3","1","1","3","1","3","1","1","3","2","2",59.9,3505.1,1,0,"1",0.00063044811304291,"0"
"2","1","2","2",49,"2","1","1","3","3","1","3","1","1","1","1","2",59.6,2970.3,0,3,"1",0.223378238084854,"0"
"1","1","1","1",30,"2","1","1","3","3","1","1","1","1","1","2","1",55.3,1530.6,0,0,"1",0.0470561757025041,"0"
"2","1","2","2",47,"2","3","2","1","3","1","1","3","3","1","2","3",99.35,4749.15,0,4,"2",0.950004894913398,"0"
"2","1","2","2",1,"1","2","1","1","3","1","1","1","1","1","1","3",30.2,30.2,0,0,"2",0.518296509404271,"0"
"2","1","2","1",72,"2","3","1","3","3","3","3","3","3","3","2","2",90.25,6369.45,1,0,"1",7.6898496803906e-05,"0"
"1","1","1","2",17,"2","1","1","1","1","1","1","3","3","1","2","4",64.7,1093.1,0,0,"2",0.207560380960981,"0"
"1","2","2","1",71,"2","3","2","3","3","3","3","1","1","3","2","2",96.35,6766.95,0,0,"1",0.00031076726328358,"0"
"2","2","2","1",2,"2","1","2","1","1","3","1","3","3","1","2","2",95.5,181.65,0,0,"1",0.688152354398062,"0"
"1","1","2","2",27,"2","1","1","3","3","3","3","1","1","2","1","4",66.15,1874.45,0,0,"1",0.0081766494784617,"0"
"2","1","1","1",1,"2","1","3","2","2","2","2","2","2","1","1","1",20.2,20.2,0,0,"1",0.260737117265877,"0"
"2","2","1","1",1,"2","1","1","1","1","1","1","1","1","1","1","1",45.25,45.25,0,0,"1",0.555023239250883,"0"
"1","1","2","2",72,"2","3","2","3","3","1","3","3","1","3","1","1",99.9,7251.7,0,0,"1",0.00022142653732495,"0"
"2","1","1","1",5,"2","1","2","1","1","1","1","1","1","1","2","3",69.7,316.9,0,0,"2",0.725303886219706,"0"
"1","1","1","1",46,"2","1","2","1","1","3","1","1","1","1","2","2",74.8,3548.3,3,0,"1",0.0465661650274812,"0"
"2","1","1","1",34,"2","3","2","1","3","3","1","3","3","1","2","3",106.35,3549.25,0,4,"2",0.979853290774123,"0"
"1","1","1","1",11,"2","3","2","1","1","3","1","3","3","1","2","1",97.85,1105.4,0,2,"2",0.968444775087143,"0"
"2","1","2","2",10,"2","1","1","1","3","1","1","1","1","2","1","4",49.55,475.7,5,0,"1",0.0648509409901552,"0"
"1","1","2","2",70,"2","3","1","3","3","1","1","3","1","3","2","2",69.2,4872.35,0,0,"1",0.000165480283277939,"0"
"1","1","2","2",17,"2","1","3","2","2","2","2","2","2","2","1","4",20.75,418.25,0,0,"1",0.028673131966362,"0"
"1","1","1","1",63,"2","3","1","3","3","3","3","3","1","3","2","2",79.85,4861.45,0,0,"1",0.000210215687803524,"0"
"1","1","2","1",13,"2","3","1","3","3","1","3","3","1","1","2","3",76.2,981.45,4,0,"1",0.149473458362869,"0"
"1","1","1","1",49,"2","3","2","1","1","1","1","1","3","1","2","3",84.5,3906.7,0,3,"1",0.883122864950231,"0"
"2","1","1","1",2,"2","1","1","1","3","1","1","1","1","1","1","4",49.25,97,0,0,"1",0.319820873565057,"0"
"1","1","1","1",2,"2","1","2","1","1","1","1","3","1","1","2","3",80.65,144.15,0,0,"2",0.77622078744442,"0"
"2","1","1","1",52,"2","3","1","3","1","1","3","3","3","3","2","2",79.75,4217.8,1,0,"1",0.000801803894582227,"0"
"1","1","2","2",69,"2","3","1","3","1","3","3","1","1","3","2","2",64.15,4254.1,0,0,"1",0.000179782956192626,"0"
"1","2","1","1",43,"2","3","2","1","3","1","1","3","1","1","2","3",90.25,3838.75,0,0,"1",0.12189921296976,"0"
"1","1","1","1",15,"2","1","2","3","3","1","1","3","3","1","2","2",99.1,1426.4,0,1,"2",0.578645631614787,"0"
"1","2","2","1",25,"2","3","1","3","1","1","3","3","1","1","2","2",69.5,1752.65,4,0,"1",0.0895703991335569,"0"
"1","2","2","1",8,"2","3","2","1","3","1","1","1","1","1","2","2",80.65,633.3,0,0,"2",0.635310341377162,"0"
"1","2","2","2",60,"2","1","1","3","3","3","3","1","3","2","2","2",74.85,4456.35,0,0,"1",0.00102868199766584,"0"
"2","2","1","1",18,"2","3","2","1","1","1","1","3","3","1","2","3",95.45,1752.55,0,1,"2",0.858983021154121,"0"
"1","1","2","2",63,"2","3","2","3","1","1","1","3","3","2","2","2",99.65,6311.2,0,0,"1",0.00461318976749188,"0"
"2","2","2","2",66,"2","3","2","1","3","3","3","3","3","2","2","3",108.45,7076.35,3,0,"1",0.00392824844212224,"0"
"1","1","2","2",34,"2","3","3","2","2","2","2","2","2","3","1","2",24.95,894.3,0,0,"1",0.00232969749693024,"0"
"1","1","1","1",72,"2","3","2","1","1","3","3","3","3","3","2","2",107.5,7853.7,0,0,"1",0.000544957499890881,"0"
"1","1","2","1",47,"2","3","2","1","1","3","1","3","3","1","2","3",100.5,4707.1,0,0,"1",0.0788436929261612,"0"
"2","1","1","1",60,"2","3","2","1","3","1","1","3","1","1","2","1",89.9,5450.7,0,0,"1",0.0203591053177762,"0"
"2","1","2","1",72,"1","2","1","3","3","3","1","1","1","3","1","1",42.1,2962,0,0,"1",0.000115255021737897,"0"
"1","1","2","2",18,"2","1","1","1","1","3","3","1","1","2","2","2",54.4,957.1,0,0,"1",0.0670948991598591,"0"
"1","1","1","1",9,"2","3","2","1","1","1","1","3","3","1","1","3",94.4,857.25,0,0,"2",0.660721073738236,"0"
"1","1","1","1",3,"2","1","1","1","3","1","3","3","3","1","2","3",75.3,244.1,0,0,"1",0.400702349710432,"0"
"2","1","2","1",47,"2","3","2","1","3","1","1","1","1","2","2","3",78.9,3650.35,0,3,"1",0.698281774001992,"0"
"1","1","1","1",31,"2","1","1","1","3","3","3","3","3","3","1","4",79.2,2497.2,3,0,"1",0.00221476086949216,"0"
"1","1","2","2",50,"2","1","3","2","2","2","2","2","2","3","1","1",20.15,930.9,0,0,"1",0.000547241548858733,"0"
"2","1","1","1",10,"2","1","2","3","1","3","1","1","1","1","2","4",79.85,887.35,0,0,"1",0.355056718072136,"0"
"2","1","1","1",1,"2","1","1","1","1","1","3","1","1","1","1","4",49.05,49.05,0,0,"1",0.376357633314856,"0"
"1","1","2","2",52,"2","1","3","2","2","2","2","2","2","2","2","3",20.4,1090.65,0,0,"1",0.00333909141269575,"0"
"2","2","2","2",64,"2","3","2","3","1","3","3","3","3","3","2","1",111.6,7099,0,0,"1",0.000783128935474369,"0"
"2","1","2","2",62,"2","3","3","2","2","2","2","2","2","3","2","1",24.25,1424.6,0,0,"1",0.0003579640204455,"0"
"1","1","1","2",3,"2","1","1","3","1","1","3","1","3","1","2","1",64.5,177.4,0,0,"1",0.331250968705875,"0"
"1","2","1","1",56,"2","3","2","3","3","3","1","3","3","2","1","3",110.5,6139.5,0,0,"1",0.00656087343255477,"0"
