"","SeniorCitizen","tenure","MultipleLines","OnlineSecurity","StreamingTV","StreamingMovies","Contract","PaperlessBilling","MonthlyCharges","numTechTickets","Churn"
"1","1",1,2,1,1,1,"1","2",29.85,0,1
"2","1",34,1,3,1,1,"2","1",56.95,0,1
"3","1",2,1,3,1,1,"1","2",53.85,0,0
"4","1",45,2,3,1,1,"2","1",42.3,3,1
"5","1",2,1,1,1,1,"1","2",70.7,0,0
"6","1",8,3,1,3,3,"1","2",99.65,0,0
"7","1",22,3,1,3,1,"1","2",89.1,0,1
"8","1",10,2,3,1,1,"1","1",29.75,0,1
"9","1",28,3,1,3,3,"1","2",104.8,2,0
"10","1",62,1,3,1,1,"2","1",56.15,0,1
"11","1",13,1,3,1,1,"1","2",49.95,0,1
"12","1",16,1,2,2,2,"3","1",18.95,0,1
"13","1",58,3,1,3,3,"2","1",100.35,0,1
"14","1",49,3,1,3,3,"1","2",103.7,4,0
"15","1",25,1,3,3,3,"1","2",105.5,0,1
"16","1",69,3,3,3,3,"3","1",113.25,0,1
"17","1",52,1,2,2,2,"2","1",20.65,0,1
"18","1",71,3,3,3,3,"3","1",106.7,4,1
"19","1",10,1,1,1,1,"1","1",55.2,0,0
"20","1",21,1,1,1,3,"1","2",90.05,0,1
"21","2",1,2,1,1,3,"1","2",39.65,0,0
"22","1",12,1,2,2,2,"2","1",19.8,0,1
"23","1",1,1,2,2,2,"1","1",20.15,0,0
"24","1",58,3,1,1,1,"3","2",59.9,0,1
"25","1",49,1,3,1,1,"1","1",59.6,3,1
"26","1",30,1,3,1,1,"1","2",55.3,0,1
"27","1",47,3,1,3,3,"1","2",99.35,4,0
"28","1",1,2,1,1,1,"1","1",30.2,0,0
"29","1",72,3,3,3,3,"3","2",90.25,0,1
"30","1",17,1,1,3,3,"1","2",64.7,0,0
"31","2",71,3,3,1,1,"3","2",96.35,0,1
"32","2",2,1,1,3,3,"1","2",95.5,0,1
"33","1",27,1,3,1,1,"2","1",66.15,0,1
"34","1",1,1,2,2,2,"1","1",20.2,0,1
"35","2",1,1,1,1,1,"1","1",45.25,0,1
"36","1",72,3,3,3,1,"3","1",99.9,0,1
"37","1",5,1,1,1,1,"1","2",69.7,0,0
"38","1",46,1,1,1,1,"1","2",74.8,0,1
"39","1",34,3,1,3,3,"1","2",106.35,4,0
"40","1",11,3,1,3,3,"1","2",97.85,2,0
"41","1",10,1,1,1,1,"2","1",49.55,0,1
"42","1",70,3,3,3,1,"3","2",69.2,0,1
"43","1",17,1,2,2,2,"2","1",20.75,0,1
"44","1",63,3,3,3,1,"3","2",79.85,0,1
"45","1",13,3,3,3,1,"1","2",76.2,0,1
"46","1",49,3,1,1,3,"1","2",84.5,3,1
"47","1",2,1,1,1,1,"1","1",49.25,0,1
"48","1",2,1,1,3,1,"1","2",80.65,0,0
"49","1",52,3,3,3,3,"3","2",79.75,0,1
"50","1",69,3,3,1,1,"3","2",64.15,0,1
"51","2",43,3,1,3,1,"1","2",90.25,0,1
"52","1",15,1,3,3,3,"1","2",99.1,1,0
"53","2",25,3,3,3,1,"1","2",69.5,0,1
"54","2",8,3,1,1,1,"1","2",80.65,0,0
"55","2",60,1,3,1,3,"2","2",74.85,0,1
"56","2",18,3,1,3,3,"1","2",95.45,1,0
"57","1",63,3,3,3,3,"2","2",99.65,0,1
"58","2",66,3,1,3,3,"2","2",108.45,0,1
"59","1",34,3,2,2,2,"3","1",24.95,0,1
"60","1",72,3,1,3,3,"3","2",107.5,0,1
"61","1",47,3,1,3,3,"1","2",100.5,0,1
"62","1",60,3,1,3,1,"1","2",89.9,0,1
"63","1",72,2,3,1,1,"3","1",42.1,0,1
"64","1",18,1,1,1,1,"2","2",54.4,0,1
"65","1",9,3,1,3,3,"1","1",94.4,0,0
"66","1",3,1,1,3,3,"1","2",75.3,0,1
"67","1",47,3,1,1,1,"2","2",78.9,3,1
"68","1",31,1,1,3,3,"3","1",79.2,0,1
"69","1",50,1,2,2,2,"3","1",20.15,0,1
"70","1",10,1,3,1,1,"1","2",79.85,0,1
"71","1",1,1,1,1,1,"1","1",49.05,0,1
"72","1",52,1,2,2,2,"2","2",20.4,0,1
"73","2",64,3,3,3,3,"3","2",111.6,0,1
"74","1",62,3,2,2,2,"3","2",24.25,0,1
"75","1",3,1,3,1,3,"1","2",64.5,0,1
"76","2",56,3,3,3,3,"2","1",110.5,0,1
"77","1",46,1,1,1,3,"2","1",55.65,0,1
"78","1",8,1,3,1,1,"1","1",54.65,0,1
"79","2",30,1,3,3,3,"1","2",74.75,0,1
"80","1",45,3,2,2,2,"2","2",25.9,0,1
"81","1",1,1,1,3,1,"1","2",79.35,0,0
"82","1",11,2,3,3,3,"1","1",50.55,0,1
"83","1",7,1,1,1,1,"1","2",75.15,0,0
"84","1",42,1,1,3,3,"1","2",103.8,0,1
"85","1",49,1,2,2,2,"3","2",20.15,0,1
"86","1",9,3,1,3,3,"1","2",99.3,0,1
"87","1",35,1,3,3,1,"2","2",62.15,0,1
"88","1",48,1,2,2,2,"3","1",20.65,0,1
"89","1",46,1,2,2,2,"3","2",19.95,0,1
"90","1",29,2,1,3,1,"1","1",33.75,0,1
"91","1",30,1,1,1,1,"1","1",82.05,0,1
"92","2",1,1,1,1,1,"1","1",74.7,0,1
"93","1",66,3,3,3,3,"3","2",84,0,1
"94","1",65,3,3,3,3,"1","2",111.05,0,1
"95","1",72,3,1,3,3,"3","2",100.9,0,1
"96","1",12,3,3,1,1,"1","2",78.95,0,0
"97","1",71,3,3,1,1,"2","2",66.85,0,1
"98","1",5,1,2,2,2,"1","1",21.05,0,0
"99","1",52,1,2,2,2,"3","1",21,0,1
"100","2",25,1,1,3,3,"1","2",98.5,1,0
"101","1",1,1,2,2,2,"1","1",20.2,0,1
"102","1",1,1,2,2,2,"1","1",19.45,0,1
"103","1",38,3,1,3,1,"2","1",95,0,1
"104","2",66,2,1,3,1,"2","1",45.55,0,1
"105","1",68,3,1,3,3,"3","2",110,6,0
"106","1",5,2,1,1,1,"1","1",24.3,0,1
"107","1",72,3,3,3,3,"2","2",104.15,0,1
"108","1",32,2,3,1,1,"2","1",30.15,0,1
"109","1",43,3,1,3,3,"2","1",94.35,0,1
"110","1",72,1,2,2,2,"3","1",19.4,0,1
"111","1",55,3,3,3,1,"1","2",96.75,5,0
"112","1",52,1,3,1,1,"2","1",57.95,0,1
"113","1",43,1,1,3,1,"1","2",91.65,0,1
"114","2",37,3,1,1,1,"1","2",76.5,0,0
"115","1",64,2,1,3,3,"3","2",54.6,0,1
"116","1",3,1,3,3,1,"1","1",89.85,0,1
"117","1",36,2,3,1,1,"3","1",31.05,0,1
"118","1",10,3,3,3,3,"1","2",100.25,1,0
"119","1",41,1,2,2,2,"3","1",20.65,0,1
"120","1",27,3,1,1,1,"1","2",85.2,2,1
"121","1",56,3,1,3,3,"2","2",99.8,0,1
"122","1",6,1,2,2,2,"1","1",20.7,0,1
"123","1",3,3,1,1,1,"1","2",74.4,0,0
"124","1",7,1,3,1,1,"1","1",50.7,0,1
"125","1",4,1,2,2,2,"1","1",20.85,0,1
"126","1",33,1,3,3,1,"3","2",88.95,0,1
"127","2",27,3,1,1,1,"1","2",78.05,0,0
"128","1",72,3,2,2,2,"3","2",23.55,0,1
"129","1",1,1,2,2,2,"1","1",19.75,0,1
"130","2",71,2,3,3,3,"2","2",56.45,0,1
"131","1",13,3,1,1,3,"1","2",85.95,0,1
"132","1",25,2,3,3,3,"1","2",58.6,1,0
"133","1",67,1,1,1,1,"3","1",50.55,0,1
"134","1",1,2,1,1,3,"1","2",35.45,0,0
"135","1",2,1,1,1,1,"1","1",44.35,0,0
"136","1",43,3,2,2,2,"3","2",25.7,0,1
"137","1",23,1,3,1,1,"1","2",75,0,1
"138","1",64,1,2,2,2,"3","1",20.2,0,1
"139","1",57,1,2,2,2,"3","2",19.6,0,1
"140","2",1,1,1,1,1,"1","2",70.45,0,0
"141","2",72,3,3,3,3,"3","2",88.05,0,1
"142","1",8,3,3,1,3,"1","1",71.15,0,0
"143","1",61,3,1,3,3,"3","2",101.05,0,1
"144","1",64,3,3,1,1,"2","2",84.3,0,1
"145","2",71,3,2,2,2,"3","1",23.95,0,1
"146","1",65,3,3,3,1,"3","2",99.05,0,1
"147","1",3,1,2,2,2,"2","1",19.6,0,1
"148","1",1,1,1,1,1,"1","2",45.65,0,0
"149","1",30,1,1,3,1,"2","1",64.5,0,1
"150","1",15,1,1,1,3,"1","2",69.5,0,1
"151","1",8,1,1,3,3,"1","2",68.55,0,1
"152","1",7,3,1,3,3,"1","1",95,0,0
"153","1",70,3,3,3,3,"2","2",108.15,0,1
"154","1",62,1,3,3,3,"3","1",86.1,0,1
"155","1",6,1,2,2,2,"1","1",19.7,0,1
"156","1",14,1,1,1,3,"1","2",80.9,0,1
"157","1",22,3,1,3,1,"1","2",84.15,0,1
"158","1",22,1,2,2,2,"2","1",20.15,0,1
"159","1",16,1,3,3,1,"3","1",64.25,0,1
"160","1",10,3,2,2,2,"3","1",25.7,0,1
"161","1",13,1,3,1,1,"1","2",56,0,1
"162","1",20,3,3,1,1,"1","1",82.4,0,0
"163","1",2,1,1,1,1,"1","2",69.7,0,1
"164","1",53,3,1,1,3,"3","2",73.9,1,1
"165","1",11,1,2,2,2,"2","1",20.6,0,1
"166","1",69,1,2,2,2,"3","1",19.9,0,1
"167","1",4,1,1,1,1,"1","2",70.9,0,0
"168","1",72,3,3,3,3,"3","2",89.05,0,1
"169","2",58,2,1,1,3,"1","2",45.3,5,0
"170","1",16,1,2,2,2,"1","1",20.4,0,1
"171","1",43,1,3,1,1,"2","2",84.25,0,1
"172","1",2,3,1,3,3,"1","2",104.4,0,0
"173","1",14,1,1,3,3,"3","1",81.95,0,1
"174","1",53,1,1,3,3,"2","2",94.85,5,0
"175","1",32,1,2,2,2,"2","1",20.55,0,1
"176","1",34,3,2,2,2,"1","1",24.7,0,1
"177","2",15,3,1,1,1,"1","2",74.45,0,0
"178","2",7,1,3,1,1,"1","1",76.45,0,0
"179","1",15,3,1,3,3,"1","2",105.35,0,1
"180","1",61,1,2,2,2,"2","2",20.55,0,1
"181","1",1,2,1,1,1,"1","1",29.95,0,0
