"SeniorCitizen","tenure","MultipleLines","OnlineSecurity","StreamingTV","StreamingMovies","Contract","PaperlessBilling","MonthlyCharges","numTechTickets"
"1",1,2,1,1,1,"1","2",29.85,0
"1",34,1,3,1,1,"2","1",56.95,0
"1",2,1,3,1,1,"1","2",53.85,0
"1",45,2,3,1,1,"2","1",42.3,3
"1",2,1,1,1,1,"1","2",70.7,0
"1",8,3,1,3,3,"1","2",99.65,0
"1",22,3,1,3,1,"1","2",89.1,0
"1",10,2,3,1,1,"1","1",29.75,0
"1",28,3,1,3,3,"1","2",104.8,2
"1",62,1,3,1,1,"2","1",56.15,0
"1",13,1,3,1,1,"1","2",49.95,0
"1",16,1,2,2,2,"3","1",18.95,0
"1",58,3,1,3,3,"2","1",100.35,0
"1",49,3,1,3,3,"1","2",103.7,4
"1",25,1,3,3,3,"1","2",105.5,0
"1",69,3,3,3,3,"3","1",113.25,0
"1",52,1,2,2,2,"2","1",20.65,0
"1",71,3,3,3,3,"3","1",106.7,4
"1",10,1,1,1,1,"1","1",55.2,0
"1",21,1,1,1,3,"1","2",90.05,0
"2",1,2,1,1,3,"1","2",39.65,0
"1",12,1,2,2,2,"2","1",19.8,0
"1",1,1,2,2,2,"1","1",20.15,0
"1",58,3,1,1,1,"3","2",59.9,0
"1",49,1,3,1,1,"1","1",59.6,3
"1",30,1,3,1,1,"1","2",55.3,0
"1",47,3,1,3,3,"1","2",99.35,4
"1",1,2,1,1,1,"1","1",30.2,0
"1",72,3,3,3,3,"3","2",90.25,0
"1",17,1,1,3,3,"1","2",64.7,0
"2",71,3,3,1,1,"3","2",96.35,0
"2",2,1,1,3,3,"1","2",95.5,0
"1",27,1,3,1,1,"2","1",66.15,0
"1",1,1,2,2,2,"1","1",20.2,0
"2",1,1,1,1,1,"1","1",45.25,0
"1",72,3,3,3,1,"3","1",99.9,0
"1",5,1,1,1,1,"1","2",69.7,0
"1",46,1,1,1,1,"1","2",74.8,0
"1",34,3,1,3,3,"1","2",106.35,4
"1",11,3,1,3,3,"1","2",97.85,2
"1",10,1,1,1,1,"2","1",49.55,0
"1",70,3,3,3,1,"3","2",69.2,0
"1",17,1,2,2,2,"2","1",20.75,0
"1",63,3,3,3,1,"3","2",79.85,0
"1",13,3,3,3,1,"1","2",76.2,0
"1",49,3,1,1,3,"1","2",84.5,3
"1",2,1,1,1,1,"1","1",49.25,0
"1",2,1,1,3,1,"1","2",80.65,0
"1",52,3,3,3,3,"3","2",79.75,0
"1",69,3,3,1,1,"3","2",64.15,0
"2",43,3,1,3,1,"1","2",90.25,0
"1",15,1,3,3,3,"1","2",99.1,1
"2",25,3,3,3,1,"1","2",69.5,0
"2",8,3,1,1,1,"1","2",80.65,0
"2",60,1,3,1,3,"2","2",74.85,0
"2",18,3,1,3,3,"1","2",95.45,1
"1",63,3,3,3,3,"2","2",99.65,0
"2",66,3,1,3,3,"2","2",108.45,0
"1",34,3,2,2,2,"3","1",24.95,0
"1",72,3,1,3,3,"3","2",107.5,0
"1",47,3,1,3,3,"1","2",100.5,0
"1",60,3,1,3,1,"1","2",89.9,0
"1",72,2,3,1,1,"3","1",42.1,0
"1",18,1,1,1,1,"2","2",54.4,0
"1",9,3,1,3,3,"1","1",94.4,0
"1",3,1,1,3,3,"1","2",75.3,0
"1",47,3,1,1,1,"2","2",78.9,3
"1",31,1,1,3,3,"3","1",79.2,0
"1",50,1,2,2,2,"3","1",20.15,0
"1",10,1,3,1,1,"1","2",79.85,0
"1",1,1,1,1,1,"1","1",49.05,0
"1",52,1,2,2,2,"2","2",20.4,0
"2",64,3,3,3,3,"3","2",111.6,0
"1",62,3,2,2,2,"3","2",24.25,0
"1",3,1,3,1,3,"1","2",64.5,0
"2",56,3,3,3,3,"2","1",110.5,0
"1",46,1,1,1,3,"2","1",55.65,0
"1",8,1,3,1,1,"1","1",54.65,0
"2",30,1,3,3,3,"1","2",74.75,0
"1",45,3,2,2,2,"2","2",25.9,0
"1",1,1,1,3,1,"1","2",79.35,0
"1",11,2,3,3,3,"1","1",50.55,0
"1",7,1,1,1,1,"1","2",75.15,0
"1",42,1,1,3,3,"1","2",103.8,0
"1",49,1,2,2,2,"3","2",20.15,0
"1",9,3,1,3,3,"1","2",99.3,0
"1",35,1,3,3,1,"2","2",62.15,0
"1",48,1,2,2,2,"3","1",20.65,0
"1",46,1,2,2,2,"3","2",19.95,0
"1",29,2,1,3,1,"1","1",33.75,0
"1",30,1,1,1,1,"1","1",82.05,0
"2",1,1,1,1,1,"1","1",74.7,0
"1",66,3,3,3,3,"3","2",84,0
"1",65,3,3,3,3,"1","2",111.05,0
"1",72,3,1,3,3,"3","2",100.9,0
"1",12,3,3,1,1,"1","2",78.95,0
"1",71,3,3,1,1,"2","2",66.85,0
"1",5,1,2,2,2,"1","1",21.05,0
"1",52,1,2,2,2,"3","1",21,0
"2",25,1,1,3,3,"1","2",98.5,1
"1",1,1,2,2,2,"1","1",20.2,0
"1",1,1,2,2,2,"1","1",19.45,0
"1",38,3,1,3,1,"2","1",95,0
"2",66,2,1,3,1,"2","1",45.55,0
"1",68,3,1,3,3,"3","2",110,6
"1",5,2,1,1,1,"1","1",24.3,0
"1",72,3,3,3,3,"2","2",104.15,0
"1",32,2,3,1,1,"2","1",30.15,0
"1",43,3,1,3,3,"2","1",94.35,0
"1",72,1,2,2,2,"3","1",19.4,0
"1",55,3,3,3,1,"1","2",96.75,5
"1",52,1,3,1,1,"2","1",57.95,0
"1",43,1,1,3,1,"1","2",91.65,0
"2",37,3,1,1,1,"1","2",76.5,0
"1",64,2,1,3,3,"3","2",54.6,0
"1",3,1,3,3,1,"1","1",89.85,0
"1",36,2,3,1,1,"3","1",31.05,0
"1",10,3,3,3,3,"1","2",100.25,1
"1",41,1,2,2,2,"3","1",20.65,0
"1",27,3,1,1,1,"1","2",85.2,2
"1",56,3,1,3,3,"2","2",99.8,0
"1",6,1,2,2,2,"1","1",20.7,0
"1",3,3,1,1,1,"1","2",74.4,0
"1",7,1,3,1,1,"1","1",50.7,0
"1",4,1,2,2,2,"1","1",20.85,0
"1",33,1,3,3,1,"3","2",88.95,0
"2",27,3,1,1,1,"1","2",78.05,0
"1",72,3,2,2,2,"3","2",23.55,0
"1",1,1,2,2,2,"1","1",19.75,0
"2",71,2,3,3,3,"2","2",56.45,0
"1",13,3,1,1,3,"1","2",85.95,0
"1",25,2,3,3,3,"1","2",58.6,1
"1",67,1,1,1,1,"3","1",50.55,0
"1",1,2,1,1,3,"1","2",35.45,0
"1",2,1,1,1,1,"1","1",44.35,0
"1",43,3,2,2,2,"3","2",25.7,0
"1",23,1,3,1,1,"1","2",75,0
"1",64,1,2,2,2,"3","1",20.2,0
"1",57,1,2,2,2,"3","2",19.6,0
"2",1,1,1,1,1,"1","2",70.45,0
"2",72,3,3,3,3,"3","2",88.05,0
"1",8,3,3,1,3,"1","1",71.15,0
"1",61,3,1,3,3,"3","2",101.05,0
"1",64,3,3,1,1,"2","2",84.3,0
"2",71,3,2,2,2,"3","1",23.95,0
"1",65,3,3,3,1,"3","2",99.05,0
"1",3,1,2,2,2,"2","1",19.6,0
"1",1,1,1,1,1,"1","2",45.65,0
"1",30,1,1,3,1,"2","1",64.5,0
"1",15,1,1,1,3,"1","2",69.5,0
"1",8,1,1,3,3,"1","2",68.55,0
"1",7,3,1,3,3,"1","1",95,0
"1",70,3,3,3,3,"2","2",108.15,0
"1",62,1,3,3,3,"3","1",86.1,0
"1",6,1,2,2,2,"1","1",19.7,0
"1",14,1,1,1,3,"1","2",80.9,0
"1",22,3,1,3,1,"1","2",84.15,0
"1",22,1,2,2,2,"2","1",20.15,0
"1",16,1,3,3,1,"3","1",64.25,0
"1",10,3,2,2,2,"3","1",25.7,0
"1",13,1,3,1,1,"1","2",56,0
"1",20,3,3,1,1,"1","1",82.4,0
"1",2,1,1,1,1,"1","2",69.7,0
"1",53,3,1,1,3,"3","2",73.9,1
"1",11,1,2,2,2,"2","1",20.6,0
"1",69,1,2,2,2,"3","1",19.9,0
"1",4,1,1,1,1,"1","2",70.9,0
"1",72,3,3,3,3,"3","2",89.05,0
"2",58,2,1,1,3,"1","2",45.3,5
"1",16,1,2,2,2,"1","1",20.4,0
"1",43,1,3,1,1,"2","2",84.25,0
"1",2,3,1,3,3,"1","2",104.4,0
"1",14,1,1,3,3,"3","1",81.95,0
"1",53,1,1,3,3,"2","2",94.85,5
"1",32,1,2,2,2,"2","1",20.55,0
"1",34,3,2,2,2,"1","1",24.7,0
"2",15,3,1,1,1,"1","2",74.45,0
"2",7,1,3,1,1,"1","1",76.45,0
"1",15,3,1,3,3,"1","2",105.35,0
"1",61,1,2,2,2,"2","2",20.55,0
"1",1,2,1,1,1,"1","1",29.95,0
"1",1,1,1,1,1,"1","1",45.3,0
"1",8,3,1,1,3,"1","1",84.5,0
"1",33,1,3,3,3,"2","1",74.75,0
"1",13,1,1,1,1,"1","2",79.25,1
"1",1,2,1,1,1,"1","2",24.8,0
"1",20,1,1,1,1,"1","2",51.8,0
"1",3,2,1,1,1,"1","1",30.4,0
"1",13,1,2,2,2,"2","1",19.65,0
"1",40,3,1,1,1,"1","1",56.6,0
"1",43,3,3,1,3,"2","2",71.9,0
"1",6,1,1,1,3,"1","2",91,0
"1",69,1,2,2,2,"3","1",19.75,0
"1",72,3,3,3,3,"3","1",109.7,0
"1",59,1,2,2,2,"3","1",19.3,0
"1",20,1,3,3,1,"1","2",96.55,0
"1",24,3,2,2,2,"3","2",24.1,0
"1",59,3,1,3,3,"1","2",111.35,0
"1",72,3,1,3,3,"3","2",112.25,0
"1",1,1,2,2,2,"1","1",20.75,0
"1",27,1,3,3,3,"2","2",101.9,0
"1",14,1,1,1,1,"1","2",80.05,0
"1",71,3,3,3,3,"3","1",105.55,0
"1",13,1,1,3,1,"1","2",78.3,0
"1",44,1,1,1,1,"1","1",68.85,0
"1",33,1,1,1,1,"2","2",79.95,0
"1",72,2,3,1,3,"3","2",55.45,0
"1",1,1,1,1,3,"1","1",79.9,0
"1",19,1,3,3,3,"1","2",106.6,1
"1",64,1,1,3,3,"2","2",102.45,0
"1",2,1,1,1,1,"1","2",46,0
"1",1,2,1,1,1,"1","1",25.25,0
"1",61,1,2,2,2,"3","1",19.75,0
"1",29,1,2,2,2,"2","1",20,0
"2",23,3,1,1,3,"1","1",86.8,0
"1",57,2,3,3,3,"1","2",58.75,1
"1",72,2,3,1,1,"3","1",45.25,0
"1",66,2,3,3,1,"3","2",56.6,0
"1",65,3,1,3,3,"3","2",84.2,0
"1",8,1,1,3,1,"1","2",80,0
"1",4,1,1,1,1,"1","2",70.15,0
"1",71,3,2,2,2,"3","1",24.75,0
"1",1,1,2,2,2,"2","2",20.2,0
"1",4,1,1,1,1,"1","1",50.05,0
"1",12,1,2,2,2,"2","2",19.35,0
"1",24,2,3,3,3,"2","2",50.6,0
"1",31,1,3,3,3,"2","2",81.15,0
"1",1,1,1,3,1,"1","1",55.2,0
"1",30,3,1,1,3,"1","2",89.9,0
"1",47,3,3,3,3,"3","2",85.3,0
"1",54,3,3,3,3,"3","2",108,0
"1",50,1,3,1,3,"1","2",93.5,0
"1",1,1,3,1,3,"1","2",84.6,1
"1",72,1,2,2,2,"3","1",20.25,0
"1",29,3,2,2,2,"1","1",25.15,0
"1",2,3,1,1,1,"1","2",54.4,0
"1",10,2,1,1,1,"3","2",29.6,0
"1",18,3,1,1,1,"1","2",73.15,0
"2",11,1,1,3,3,"1","2",95,0
"1",16,1,2,2,2,"3","1",19.75,0
"1",72,3,1,3,3,"3","1",86.6,1
"1",72,3,1,3,3,"3","1",109.2,0
"1",41,1,3,3,3,"2","2",74.7,2
"2",65,1,3,1,3,"1","1",94.4,0
"2",13,1,1,1,1,"1","2",54.8,0
"2",4,1,3,1,1,"1","1",75.35,0
"1",41,3,1,1,3,"2","1",65,0
"2",15,1,1,1,1,"1","2",74.4,0
"1",1,1,3,1,1,"1","2",48.55,0
"1",42,3,3,1,3,"2","2",99,0
"1",51,1,3,3,1,"2","2",93.5,0
"1",2,1,1,1,1,"1","1",70.4,0
"2",1,2,1,3,1,"1","1",40.2,0
"1",32,3,1,3,3,"2","1",83.7,0
"1",10,1,2,2,2,"1","2",19.85,0
"1",67,2,1,3,3,"3","2",59.55,0
"1",61,3,3,3,3,"3","1",115.1,0
"1",50,3,3,3,3,"2","1",114.35,0
"1",2,1,1,1,1,"1","2",44.6,0
"2",29,2,3,1,3,"1","2",45,0
"2",3,2,1,1,3,"1","2",41.15,0
"2",13,3,1,3,3,"1","2",106.9,1
"2",57,3,1,1,3,"1","2",89.85,0
"1",31,2,3,1,3,"3","2",49.85,0
"1",45,3,3,3,3,"2","1",113.3,0
"1",61,3,3,3,3,"3","1",88.1,0
"1",50,3,2,2,2,"3","1",24.9,0
"2",19,1,3,3,3,"1","2",105,0
"1",59,1,2,2,2,"3","1",19.35,2
"1",71,3,2,2,2,"3","2",24.25,0
"2",16,1,1,3,3,"1","2",94.45,1
"1",57,1,3,1,1,"3","2",59.75,0
"1",1,2,1,1,1,"1","1",24.8,0
"2",20,3,1,3,3,"1","1",107.05,0
"1",1,1,1,1,1,"1","1",70.6,0
"1",5,3,1,1,1,"1","2",85.4,0
"1",52,3,1,3,3,"1","2",105.05,5
"2",21,1,3,1,3,"1","2",64.95,0
"1",14,2,1,3,3,"1","2",55,0
"1",5,1,1,1,1,"1","1",50.55,0
"1",6,1,3,1,1,"1","1",55.15,0
"1",10,1,1,1,1,"1","1",51.2,0
"1",1,3,2,2,2,"1","1",25.4,0
"1",68,3,3,1,1,"1","1",54.45,0
"1",18,1,1,3,3,"1","1",95.15,2
"1",22,3,1,1,1,"2","2",76,0
"1",20,1,1,1,1,"1","2",44.35,0
